#      xgu         yg          yg
#
16 183 183
16.5 182.573 182.573
17 181.499 181.499
17.5 179.994 179.994
18 178.193 178.193
18.5 176.187 176.187
19 174.035 174.035
19.5 171.781 171.781
20 169.456 169.456
20.5 167.082 167.082
21 164.678 164.678
21.5 162.256 162.256
22 159.826 159.826
22.5 157.397 157.397
23 154.974 154.974
23.5 152.564 152.564
24 150.169 150.169
24.5 147.793 147.793
25 145.438 145.438
25.5 143.107 143.107
26 140.801 140.801
26.5 138.522 138.522
27 136.27 136.27
27.5 134.046 134.046
28 131.852 131.852
28.5 129.686 129.686
29 127.551 127.551
29.5 125.445 125.445
30 123.369 123.369
30.5 121.324 121.324
31 119.309 119.309
31.5 117.323 117.323
32 115.368 115.368
32.5 113.442 113.442
33 111.546 111.546
33.5 109.679 109.679
34 107.841 107.841
34.5 106.033 106.033
35 104.252 104.252
35.5 102.5 102.5
36 100.776 100.776
36.5 99.0792 99.0792
37 97.4099 97.4099
37.5 95.7675 95.7675
38 94.1516 94.1516
38.5 92.562 92.562
39 90.9983 90.9983
39.5 89.4602 89.4602
40 87.9472 87.9472
40.5 86.459 86.459
41 84.9953 84.9953
41.5 83.5557 83.5557
42 82.1399 82.1399
42.5 80.7476 80.7476
43 79.3782 79.3782
43.5 78.0316 78.0316
44 76.7074 76.7074
44.5 75.4052 75.4052
45 74.1247 74.1247
45.5 72.8655 72.8655
46 71.6274 71.6274
46.5 70.41 70.41
47 69.213 69.213
47.5 68.0359 68.0359
48 66.8787 66.8787
48.5 65.7408 65.7408
49 64.6221 64.6221
49.5 63.5222 63.5222
50 62.4407 62.4407
50.5 61.3775 61.3775
51 60.3321 60.3321
51.5 59.3044 59.3044
52 58.294 58.294
52.5 57.3006 57.3006
53 56.3241 56.3241
53.5 55.364 55.364
54 54.4201 54.4201
54.5 53.4922 53.4922
55 52.58 52.58
55.5 51.6832 51.6832
56 50.8016 50.8016
56.5 49.9349 49.9349
57 49.0829 49.0829
57.5 48.2454 48.2454
58 47.422 47.422
58.5 46.6126 46.6126
59 45.817 45.817
59.5 45.0348 45.0348
60 44.2659 44.2659
60.5 43.5101 43.5101
61 42.7671 42.7671
61.5 42.0367 42.0367
62 41.3187 41.3187
62.5 40.6129 40.6129
63 39.9192 39.9192
63.5 39.2372 39.2372
64 38.5668 38.5668
64.5 37.9079 37.9079
65 37.2601 37.2601
65.5 36.6234 36.6234
66 35.9975 35.9975
66.5 35.3822 35.3822
67 34.7775 34.7775
67.5 34.183 34.183
68 33.5986 33.5986
68.5 33.0243 33.0243
69 32.4597 32.4597
69.5 31.9047 31.9047
70 31.3591 31.3591
70.5 30.8229 30.8229
71 30.2958 30.2958
71.5 29.7777 29.7777
72 29.2685 29.2685
72.5 28.7679 28.7679
73 28.2759 28.2759
73.5 27.7922 27.7922
74 27.3168 27.3168
74.5 26.8495 26.8495
75 26.3902 26.3902
75.5 25.9388 25.9388
76 25.495 25.495
76.5 25.0588 25.0588
77 24.63 24.63
77.5 24.2086 24.2086
78 23.7944 23.7944
78.5 23.3872 23.3872
79 22.987 22.987
79.5 22.5936 22.5936
80 22.207 22.207
80.5 21.8269 21.8269
81 21.4534 21.4534
81.5 21.0862 21.0862
82 20.7253 20.7253
82.5 20.3706 20.3706
83 20.0219 20.0219
83.5 19.6792 19.6792
84 19.3423 19.3423
84.5 19.0112 19.0112
85 18.6858 18.6858
85.5 18.3659 18.3659
86 18.0515 18.0515
86.5 17.7424 17.7424
87 17.4387 17.4387
87.5 17.1401 17.1401
88 16.8466 16.8466
88.5 16.5582 16.5582
89 16.2747 16.2747
89.5 15.996 15.996
90 15.7221 15.7221
90.5 15.4529 15.4529
91 15.1883 15.1883
91.5 14.9282 14.9282
92 14.6726 14.6726
92.5 14.4213 14.4213
93 14.1744 14.1744
93.5 13.9316 13.9316
94 13.693 13.693
94.5 13.4585 13.4585
95 13.228 13.228
95.5 13.0015 13.0015
96 12.7788 12.7788
96.5 12.5599 12.5599
97 12.3448 12.3448
97.5 12.1334 12.1334
98 11.9256 11.9256
98.5 11.7213 11.7213
99 11.5205 11.5205
99.5 11.3232 11.3232
100 11.1292 11.1292
100.5 10.9386 10.9386
101 10.7512 10.7512
101.5 10.567 10.567
102 10.386 10.386
102.5 10.2081 10.2081
103 10.0332 10.0332
103.5 9.86136 9.86136
104 9.69243 9.69243
104.5 9.52638 9.52638
105 9.36318 9.36318
105.5 9.20277 9.20277
106 9.04511 9.04511
106.5 8.89015 8.89015
107 8.73783 8.73783
107.5 8.58813 8.58813
108 8.44099 8.44099
108.5 8.29637 8.29637
109 8.15423 8.15423
109.5 8.01452 8.01452
110 7.8772 7.8772
110.5 7.74223 7.74223
111 7.60958 7.60958
111.5 7.47919 7.47919
112 7.35104 7.35104
112.5 7.22508 7.22508
113 7.10128 7.10128
113.5 6.9796 6.9796
114 6.86 6.86
114.5 6.74245 6.74245
115 6.62692 6.62692
115.5 6.51336 6.51336
116 6.40175 6.40175
